molecule_chembl_id,canonical_smiles,inchi_key,pchembl_value,document_chembl_id
CHEMBL189963,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,AHJRHEGDXFFMBM-UHFFFAOYSA-N,5.6,CHEMBL1201862
CHEMBL3930716,N#Cc1cccc(-c2c[nH]c3ncnc(N4CCC(F)CC4)c23)c1F,AHNKWHJBFLDDJQ-UHFFFAOYSA-N,7.41,CHEMBL3886286
CHEMBL5995114,N#CCC1CC(n2c([C@H]3CCOC3)nc3cnc4ccc(Cl)cc4c32)CCO1,AHQPJCUEBFHSCN-JEYLPNPQSA-N,8.37,CHEMBL5728780
CHEMBL5875636,Cc1ccc(-c2cc[nH]n2)cc1-c1ccc2nc(NC(=O)[C@@H]3C[C@@H]3F)cn2c1,AHSDGMVKOUWWLJ-SJORKVTESA-N,6.26,CHEMBL5728679
CHEMBL3393351,COC1CCN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)CC1,AIBHMWUNRKKSLW-UHFFFAOYSA-N,6.215,CHEMBL3393009
CHEMBL5171075,Cn1ncc(C2CC2C(=O)Nc2cc3cc(N4CCN(C5(C)COCC5O)CC4)c(Cl)cc3cn2)n1,AIKKMMVZORNGHJ-UHFFFAOYSA-N,10.09,CHEMBL5120951
CHEMBL3545311,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,AILRADAXUVEEIR-UHFFFAOYSA-N,7.29,CHEMBL5696443
CHEMBL3651792,N#CCc1cccc(-c2[nH]nc3ccnc(OC4CCOCC4)c23)c1,AIMAQYTWZKKMLR-UHFFFAOYSA-N,7.77,CHEMBL3638634
CHEMBL5906798,C=C(C)c1n[nH]c2ccc(NC(=O)c3ncc(C#N)c(C)c3C)cc12,AIYHNELFFBYMPX-UHFFFAOYSA-N,6.26,CHEMBL5729282
CHEMBL4466740,C[C@@H]1C[C@H](n2c(Cc3cn(C)nn3)nc3cnc4ccc(C(F)(F)F)cc4c32)CCO1,AJDNMIPYMHZCKI-IUODEOHRSA-N,8.095,CHEMBL4330176
CHEMBL5827814,C[C@@H]1CC(n2c(Cc3cn(C)nn3)nc3cnc4ccc(C(F)(F)F)cc4c32)CCO1,AJDNMIPYMHZCKI-KEKZHRQWSA-N,8.095,CHEMBL5729083
CHEMBL3933433,[C-]#[N+]C1CCCN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)C1,AJGIHAIIKZOMID-UHFFFAOYSA-N,6.99,CHEMBL3886286
CHEMBL4448579,COCCN1CCN(c2ccc(OCc3ccccc3)c(C(=O)Nc3ccnnc3)c2)CC1,AJKHEQUQNWCJNL-UHFFFAOYSA-N,6.9,CHEMBL4371037
CHEMBL3890066,C[C@H]1CCCN(c2ncnc3[nH]cc(-c4cnc5[nH]ccc5c4)c23)C1,AJXZFJQZUDXGFM-LBPRGKRZSA-N,7.145,CHEMBL3886286
CHEMBL3326146,COc1ccc(OC)c(Sc2ccc3nnc(-c4cnn(C)c4)n3c2)c1,AKDXVPDKFZGYBR-UHFFFAOYSA-N,5.83,CHEMBL3352207
CHEMBL3932556,OCc1cccc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1F,AKFLJDSVSOFZFA-UHFFFAOYSA-N,7.31,CHEMBL3886286
CHEMBL5618927,Cc1cc(-n2ncc3ccc([C@]4(C#N)CC45CC5)cc32)nc(C)n1,AKVBERHBEIATDF-LJQANCHMSA-N,8.775,CHEMBL5614427
CHEMBL5411054,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCOCCOCCOCCOCCC(=O)N2CCN(c3cc(-c4n[nH]c5ccc(OC6(C)CC6)cc45)ncn3)CC2)C(C)(C)C)cc1,ALDLVHMDSBEBKM-LTFGGENQSA-N,8.46,CHEMBL5365424
CHEMBL3970331,Cn1cc(-c2cc3c(-c4cc(N5CCc6oncc6C5)ncn4)n[nH]c3cc2F)cn1,ALDYDZCFBGGXSU-UHFFFAOYSA-N,6.34,CHEMBL3886204
CHEMBL2348942,FC(F)(F)c1cccc(Sc2cn3c(-c4cccs4)cnc3cn2)c1,ALDZLUIMSAHBFU-UHFFFAOYSA-N,5.565,CHEMBL2346543
CHEMBL5437823,Cc1[nH]nc(-c2ccncc2)c1-c1cc(F)c(N2CCC3(CCOCC3)C2)c(F)c1,ALFZBAFPSSHPKA-UHFFFAOYSA-N,6.8525,CHEMBL5352405
CHEMBL3641860,CNc1nc(Nc2ccc(C(=O)N3CC4(COC4)C3)cc2OC2CCCC2)ncc1Cl,ALRGQGBENBSZCV-UHFFFAOYSA-N,8.2,CHEMBL3639246
CHEMBL3800053,CSc1sc(-c2cc[nH]n2)c2c1C(=O)NCC2,ALRZFNMVVZQJKX-UHFFFAOYSA-N,5.79,CHEMBL3797078
CHEMBL3910233,O=C1C=C(c2ccc3[nH]nc(-c4cc(N5CCOCC5)ncn4)c3c2)CCC1,ALUJFNAKZXINMX-UHFFFAOYSA-N,8.79,CHEMBL3886204
CHEMBL5997457,Cc1nn(C2CC(C#N)C2)cc1Nc1ncc(Cl)c(OCC2CCNCC2F)n1,AMABHANBNACSQT-UHFFFAOYSA-N,6.9,CHEMBL5729586
CHEMBL2002586,Clc1cc(Nc2nc(NC3CC3)c3sccc3n2)ccc1N1CCOCC1,AMEJAXGXJBKLDC-UHFFFAOYSA-N,7.5,CHEMBL1201862
CHEMBL3643950,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(OC2CCOCC2)n1,AMFAIGJNHAMXSU-UHFFFAOYSA-N,7.48,CHEMBL3639246
CHEMBL3963345,C[C@H]1CCCN(c2ncnc3[nH]cc(-c4ccccc4)c23)C1,AMGLEELZBJNIIZ-ZDUSSCGKSA-N,7.04,CHEMBL3886286
CHEMBL5751919,CCC1(Oc2ccc3[nH]nc(-c4cc(N5C[C@H](O)[C@@H](O)[C@@H]5C)ncn4)c3c2)CC1,AMONCYDAWURNGD-JTBRQZTESA-N,8.79,CHEMBL5725245
